Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suiteone,Chrome 65.0.3325.181,,2018-04-05 10:07:16,2018-04-05 10:08:02,46.425s,PASSED
,,,,,,
Test Cases/Testing_Alert_First_page,Chrome 65.0.3325.181,,2018-04-05 10:07:17,2018-04-05 10:08:02,44.965s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-05 10:07:19,2018-04-05 10:07:25,6.249s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-05 10:07:25,2018-04-05 10:07:30,5.453s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-05 10:07:30,2018-04-05 10:07:31,0.591s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-05 10:07:31,2018-04-05 10:07:31,0.414s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:31,2018-04-05 10:07:32,0.391s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:32,2018-04-05 10:07:46,14.117s,PASSED
takeScreenshot,Chrome 65.0.3325.181,,2018-04-05 10:07:46,2018-04-05 10:07:47,1.069s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:47,2018-04-05 10:07:47,0.136s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:47,2018-04-05 10:07:48,0.687s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:48,2018-04-05 10:07:48,0.220s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:48,2018-04-05 10:07:49,0.720s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:49,2018-04-05 10:07:49,0.130s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:49,2018-04-05 10:07:49,0.288s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:49,2018-04-05 10:07:49,0.249s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:49,2018-04-05 10:07:50,0.246s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:50,2018-04-05 10:07:50,0.219s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:50,2018-04-05 10:07:50,0.335s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:50,2018-04-05 10:07:50,0.222s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:50,2018-04-05 10:07:51,0.751s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:51,2018-04-05 10:07:51,0.224s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:51,2018-04-05 10:07:52,0.792s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:52,2018-04-05 10:07:52,0.115s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:52,2018-04-05 10:07:53,0.732s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:53,2018-04-05 10:07:53,0.141s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:53,2018-04-05 10:07:54,0.446s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:54,2018-04-05 10:07:54,0.174s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:54,2018-04-05 10:07:55,0.731s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:55,2018-04-05 10:07:55,0.138s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:55,2018-04-05 10:07:55,0.721s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:55,2018-04-05 10:07:56,0.173s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:56,2018-04-05 10:07:56,0.762s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:56,2018-04-05 10:07:57,0.137s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:57,2018-04-05 10:07:57,0.848s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:57,2018-04-05 10:07:58,0.368s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:58,2018-04-05 10:07:58,0.751s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:58,2018-04-05 10:07:59,0.138s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:59,2018-04-05 10:07:59,0.736s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:59,2018-04-05 10:07:59,0.115s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:07:59,2018-04-05 10:08:00,0.789s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:08:00,2018-04-05 10:08:00,0.118s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:08:00,2018-04-05 10:08:01,0.765s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:08:01,2018-04-05 10:08:01,0.130s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:08:01,2018-04-05 10:08:02,0.819s,PASSED
click,Chrome 65.0.3325.181,,2018-04-05 10:08:02,2018-04-05 10:08:02,0.152s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-05 10:08:02,2018-04-05 10:08:02,0.126s,PASSED
